month,rate
2015-02,3.7405
2015-03,3.8857
2015-04,3.7
2015-05,3.6979
2015-06,3.8564
2015-07,3.9306
2015-08,4.014
2015-09,4.076
2015-10,4.14
2015-11,4.0118
2015-12,3.9821
2016-01,3.9487
2016-02,3.6931
2016-03,3.7707
2016-04,3.7019
2016-05,3.6039
2016-06,3.7679
2016-07,3.7333
2016-08,3.3202
2016-09,3.3093
2016-10,3.237
2016-11,3.0802
2016-12,3.1525
2017-01,3.1106
2017-02,3.1036
2017-03,3.1264
2017-04,3.1471
2017-05,3.2613
2017-06,3.2882
2017-07,3.1725
2017-08,3.2201
2017-09,3.1718
2017-10,3.3459
2017-11,3.2851
2017-12,3.3638
2018-01,3.3871
2018-02,3.5092
2018-03,3.4558
2018-04,3.5216
2018-05,3.5444
2018-06,3.3922
2018-07,3.3655
2018-08,3.358
2018-09,3.3696
2018-10,3.445
2018-11,3.389
2018-12,3.3001
2019-01,3.2737
2019-02,3.398
2019-03,3.3688
2019-04,3.4273
2019-05,3.3858
2019-06,3.3525
2019-07,3.3488
2019-08,3.267
2019-09,3.2357
2019-10,3.3334
2019-11,3.4288
2019-12,3.4382
2020-01,3.4754
2020-02,3.4662
2020-03,3.4579
2020-04,3.2831
2020-05,3.4109
2020-06,3.3681
2020-07,3.3502
2020-08,3.3121
2020-09,3.4423
2020-10,3.3341
2020-11,3.4529
2020-12,3.4224
2021-01,3.4169
2021-02,3.4358
2021-03,3.5172
2021-04,3.4781
2021-05,3.5153
2021-06,3.5739
2021-07,3.5672
2021-08,3.5289
2021-09,3.5530
2021-10,3.5233
2021-11,3.5197
2021-12,3.4622
2022-01,3.4686
2022-02,3.5650
2022-03,3.5763
2022-04,3.4008
2022-05,3.4013
2022-06,3.3448
2022-07,3.2859
2022-08,3.2502
2022-09,3.2149
2022-10,3.1389
2022-11,3.1949
2022-12,3.3074
2023-01,3.3548
2023-02,3.3152
2023-03,3.2246
2023-04,3.3264
2023-05,3.3924
2023-06,3.3749
2023-07,3.4683
2023-08,3.4885
2023-09,3.4566
2023-10,3.4409
2023-11,3.4060
2023-12,3.4573
2024-01,3.4292
2024-02,3.4653
2024-03,3.4571
2024-04,3.4988
2024-05,3.4788
2024-06,3.4858
2024-07,3.4864
2024-08,3.5755
2024-09,3.5441
2024-10,3.5886
2024-11,3.5596
2024-12,3.5195
2025-01,3.5435
2025-02,3.5064
2025-03,3.5558
2025-04,3.6377
2025-05,3.7077
2025-06,3.6130
2025-07,3.5559
2025-08,3.7221
2025-09,3.6478
2025-10,3.6258
2025-11,3.7406
2025-12,3.6973
2026-01,3.7200
