month,rate
2015-02,857.713
2015-03,885.432
2015-04,919.71
2015-05,910.64
2015-06,905.4197
2015-07,906.2988
2015-08,944.9
2015-09,921.49
2015-10,898.94
2015-11,890.52
2015-12,928.57
2016-01,907.52
2016-02,857.02
2016-03,843.39
2016-04,843.01
2016-05,823.17
2016-06,850.19
2016-07,853.89
2016-08,785.15
2016-09,772.66
2016-10,763.17
2016-11,735.23
2016-12,772.23
2017-01,777.99
2017-02,757.13
2017-03,772.52
2017-04,757.58
2017-05,784.27
2017-06,759.47
2017-07,745.5222
2017-08,742.69
2017-09,710.36
2017-10,741.72
2017-11,733.57
2017-12,739.27
2018-01,740.06
2018-02,753.48
2018-03,744.29
2018-04,752.07
2018-05,754.39
2018-06,747.73
2018-07,746.45
2018-08,735.2
2018-09,730.07
2018-10,739.34
2018-11,743.22
2018-12,735.62
2019-01,726.07
2019-02,752.97
2019-03,755.08
2019-04,762.07
2019-05,757.31
2019-06,744.46
2019-07,738.77
2019-08,735.81
2019-09,717.27
2019-10,740.41
2019-11,760.16
2019-12,795.38
2020-01,770.63
2020-02,778.25
2020-03,787.18
2020-04,712.26
2020-05,746.79
2020-06,732.18
2020-07,732.96
2020-08,720.37
2020-09,726.69
2020-10,717.18
2020-11,727.11
2020-12,734.77
2021-01,726.4900
2021-02,738.6800
2021-03,759.3700
2021-04,760.7700
2021-05,759.6200
2021-06,759.5900
2021-07,766.9100
2021-08,760.8900
2021-09,770.5200
2021-10,762.8400
2021-11,778.0200
2021-12,781.0500
2022-01,770.4544
2022-02,788.0152
2022-03,783.7789
2022-04,787.7542
2022-05,787.6861
2022-06,774.5124
2022-07,761.9697
2022-08,770.5415
2022-09,776.0296
2022-10,752.4362
2022-11,754.3441
2022-12,762.8747
2023-01,764.2939
2023-02,750.4632
2023-03,737.4333
2023-04,743.4607
2023-05,745.2383
2023-06,753.6588
2023-07,762.3617
2023-08,755.3342
2023-09,766.3450
2023-10,757.9707
2023-11,757.0490
2023-12,754.3199
2024-01,758.7380
2024-02,765.1604
2024-03,766.2805
2024-04,767.9320
2024-05,768.3689
2024-06,770.0026
2024-07,776.9327
2024-08,781.7795
2024-09,769.0610
2024-10,779.0324
2024-11,789.1739
2024-12,786.8662
2025-01,794.1201
2025-02,776.1404
2025-03,791.9095
2025-04,780.3810
2025-05,766.1720
2025-06,777.0519
2025-07,766.7381
2025-08,757.4281
2025-09,759.1531
2025-10,756.1570
2025-11,754.7378
2025-12,743.0970
2026-01,746.6312
