month,rate
2015-02,4.0882
2015-03,4.163
2015-04,3.9831
2015-05,4.0387
2015-06,4.2639
2015-07,4.2036
2015-08,4.2213
2015-09,4.2144
2015-10,4.2097
2015-11,4.1703
2015-12,4.1017
2016-01,4.1079
2016-02,3.8634
2016-03,3.9034
2016-04,3.9181
2016-05,3.8279
2016-06,3.9473
2016-07,3.9614
2016-08,3.5581
2016-09,3.5776
2016-10,3.4994
2016-11,3.3191
2016-12,3.3477
2017-01,3.341
2017-02,3.3326
2017-03,3.3622
2017-04,3.3683
2017-05,3.4588
2017-06,3.4962
2017-07,3.4194
2017-08,3.5212
2017-09,3.4546
2017-10,3.6624
2017-11,3.55
2017-12,3.5866
2018-01,3.6196
2018-02,3.8402
2018-03,3.7742
2018-04,3.7976
2018-05,3.8433
2018-06,3.6022
2018-07,3.5575
2018-08,3.5232
2018-09,3.4854
2018-10,3.5513
2018-11,3.4863
2018-12,3.45
2019-01,3.4136
2019-02,3.5267
2019-03,3.5273
2019-04,3.5609
2019-05,3.5232
2019-06,3.4179
2019-07,3.4105
2019-08,3.3749
2019-09,3.2752
2019-10,3.3705
2019-11,3.4781
2019-12,3.4863
2020-01,3.5292
2020-02,3.5479
2020-03,3.4969
2020-04,3.1761
2020-05,3.3283
2020-06,3.3129
2020-07,3.3858
2020-08,3.4375
2020-09,3.5597
2020-10,3.446
2020-11,3.5539
2020-12,3.5918
2021-01,3.6442
2021-02,3.6805
2021-03,3.7938
2021-04,3.7047
2021-05,3.7610
2021-06,3.8193
2021-07,3.7716
2021-08,3.6921
2021-09,3.7144
2021-10,3.6843
2021-11,3.7301
2021-12,3.6354
2022-01,3.5682
2022-02,3.6798
2022-03,3.6663
2022-04,3.5672
2022-05,3.5228
2022-06,3.3514
2022-07,3.3234
2022-08,3.2390
2022-09,3.1917
2022-10,3.0595
2022-11,3.0399
2022-12,3.2577
2023-01,3.3496
2023-02,3.3458
2023-03,3.2406
2023-04,3.3024
2023-05,3.3615
2023-06,3.3387
2023-07,3.4377
2023-08,3.4793
2023-09,3.4127
2023-10,3.3419
2023-11,3.2932
2023-12,3.3908
2024-01,3.4182
2024-02,3.4298
2024-03,3.4088
2024-04,3.4288
2024-05,3.3635
2024-06,3.4339
2024-07,3.4384
2024-08,3.5216
2024-09,3.5198
2024-10,3.5695
2024-11,3.4978
2024-12,3.4269
2025-01,3.4387
2025-02,3.3442
2025-03,3.4073
2025-04,3.5132
2025-05,3.5918
2025-06,3.6311
2025-07,3.6415
2025-08,3.6648
2025-09,3.6466
2025-10,3.6946
2025-11,3.6082
2025-12,3.5518
2026-01,3.6077
