month,rate
2015-02,156.03
2015-03,161.06
2015-04,167.31
2015-05,165.66
2015-06,164.7139
2015-07,164.8739
2015-08,171.89
2015-09,167.63
2015-10,163.53
2015-11,162
2015-12,168.92
2016-01,165.09
2016-02,155.9
2016-03,153.43
2016-04,153.36
2016-05,149.75
2016-06,154.66
2016-07,155.33
2016-08,142.83
2016-09,140.56
2016-10,138.83
2016-11,133.75
2016-12,140.48
2017-01,141.53
2017-02,137.73
2017-03,140.53
2017-04,137.82
2017-05,142.67
2017-06,138.16
2017-07,135.6254
2017-08,135.11
2017-09,129.22
2017-10,134.93
2017-11,133.45
2017-12,134.48
2018-01,134.63
2018-02,137.07
2018-03,135.4
2018-04,136.81
2018-05,137.24
2018-06,136.02
2018-07,135.79
2018-08,133.74
2018-09,132.81
2018-10,134.5
2018-11,135.2
2018-12,133.82
2019-01,132.08
2019-02,136.98
2019-03,137.36
2019-04,138.63
2019-05,137.77
2019-06,135.43
2019-07,134.3
2019-08,133.85
2019-09,130.48
2019-10,134.69
2019-11,138.28
2019-12,139.23
2020-01,140.19
2020-02,141.58
2020-03,143.2
2020-04,129.57
2020-05,135.85
2020-06,133.19
2020-07,133.34
2020-08,131.05
2020-09,132.2
2020-10,130.46
2020-11,132.27
2020-12,133.67
2021-01,132.1600
2021-02,134.3800
2021-03,138.1400
2021-04,138.4000
2021-05,138.1900
2021-06,138.1800
2021-07,139.5100
2021-08,138.4200
2021-09,140.1700
2021-10,138.7700
2021-11,141.5300
2021-12,142.0800
2022-01,140.1610
2022-02,143.3557
2022-03,142.5851
2022-04,143.3083
2022-05,143.2959
2022-06,140.8993
2022-07,138.6175
2022-08,140.1769
2022-09,141.1753
2022-10,136.8832
2022-11,137.2303
2022-12,138.7822
2023-01,139.0403
2023-02,136.5242
2023-03,134.1539
2023-04,135.2504
2023-05,135.5738
2023-06,137.1057
2023-07,138.6888
2023-08,137.4104
2023-09,139.4135
2023-10,137.8901
2023-11,137.7224
2023-12,137.2259
2024-01,138.0297
2024-02,139.1980
2024-03,139.4018
2024-04,139.7022
2024-05,139.7817
2024-06,140.0789
2024-07,141.3397
2024-08,142.2214
2024-09,139.9076
2024-10,141.7216
2024-11,143.5666
2024-12,143.1468
2025-01,144.4664
2025-02,141.1955
2025-03,144.0642
2025-04,141.9670
2025-05,139.3821
2025-06,141.3613
2025-07,139.4850
2025-08,137.7914
2025-09,138.1052
2025-10,137.5601
2025-11,137.3020
2025-12,135.1843
2026-01,135.8272
