month,rate
2015-02,325.17
2015-03,331.35
2015-04,317.31
2015-05,321.63
2015-06,339.5686
2015-07,334.7735
2015-08,335.97
2015-09,335.82
2015-10,335.12
2015-11,332.3
2015-12,326.84
2016-01,327.33
2016-02,307.35
2016-03,310.89
2016-04,311.98
2016-05,353.8
2016-06,364.46
2016-07,365.4
2016-08,329.58
2016-09,331.32
2016-10,324.19
2016-11,307.44
2016-12,310.09
2017-01,309.53
2017-02,308.75
2017-03,311.49
2017-04,312.18
2017-05,320.58
2017-06,324.04
2017-07,316.9286
2017-08,326.43
2017-09,320.25
2017-10,339.48
2017-11,329.61
2017-12,332.49
2018-01,335.5
2018-02,355.74
2018-03,349.88
2018-04,352.19
2018-05,356.06
2018-06,333.72
2018-07,329.74
2018-08,326.68
2018-09,323.17
2018-10,329.28
2018-11,323
2018-12,319.61
2019-01,316.25
2019-02,327
2019-03,326.78
2019-04,329.89
2019-05,326.68
2019-06,316.77
2019-07,315.96
2019-08,312.92
2019-09,303.14
2019-10,312.52
2019-11,321.91
2019-12,322.8
2020-01,326.64
2020-02,328.37
2020-03,323.82
2020-04,294.49
2020-05,308.6
2020-06,307.17
2020-07,313.93
2020-08,318.73
2020-09,329.99
2020-10,319.45
2020-11,328.06
2020-12,332.12
2021-01,337.8200
2021-02,342.6100
2021-03,354.8400
2021-04,346.9300
2021-05,351.1700
2021-06,353.3800
2021-07,351.2600
2021-08,344.0900
2021-09,345.8100
2021-10,342.9600
2021-11,345.7200
2021-12,337.9600
2022-01,330.5977
2022-02,341.0655
2022-03,339.7132
2022-04,330.6293
2022-05,326.3181
2022-06,310.3682
2022-07,308.0341
2022-08,299.9832
2022-09,295.8213
2022-10,283.5694
2022-11,281.7560
2022-12,301.7398
2023-01,310.4608
2023-02,310.1726
2023-03,300.4717
2023-04,305.8807
2023-05,311.4628
2023-06,309.2618
2023-07,318.6830
2023-08,322.6118
2023-09,316.1687
2023-10,309.6628
2023-11,305.0215
2023-12,313.7301
2024-01,316.5797
2024-02,317.6759
2024-03,315.7542
2024-04,317.6344
2024-05,311.8727
2024-06,318.1708
2024-07,318.7377
2024-08,326.0980
2024-09,326.3379
2024-10,330.8000
2024-11,324.3121
2024-12,316.7057
2025-01,317.5968
2025-02,307.7458
2025-03,312.1097
2025-04,319.9895
2025-05,325.6458
2025-06,327.1806
2025-07,326.6475
2025-08,326.3220
2025-09,323.6122
2025-10,326.9886
2025-11,318.3933
2025-12,313.0956
2026-01,317.7468
