month,rate
2015-02,9.9177
2015-03,10.47
2015-04,10.82
2015-05,11.06
2015-06,11.4177
2015-07,11.4043
2015-08,11.96
2015-09,12.35
2015-10,15.6
2015-11,18.42
2015-12,18.27
2016-01,16.62
2016-02,15.94
2016-03,16.4
2016-04,16.44
2016-05,13.04
2016-06,14.78
2016-07,16.14
2016-08,12.61
2016-09,13.22
2016-10,12.96
2016-11,12.18
2016-12,12.16
2017-01,12.16
2017-02,12.2
2017-03,12.16
2017-04,11.91
2017-05,11.95
2017-06,12.03
2017-07,11.6956
2017-08,11.5
2017-09,11.54
2017-10,12.85
2017-11,12.79
2017-12,13.43
2018-01,13.1
2018-02,13.85
2018-03,13.73
2018-04,13.41
2018-05,13.55
2018-06,13.7
2018-07,13.27
2018-08,12.98
2018-09,12.9
2018-10,14.76
2018-11,15.07
2018-12,15.23
2019-01,15.1
2019-02,15.61
2019-03,15.57
2019-04,15.82
2019-05,16.01
2019-06,17.17
2019-07,16.22
2019-08,16.16
2019-09,15.89
2019-10,16.49
2019-11,17.03
2019-12,18.2
2020-01,18.96
2020-02,19.15
2020-03,19
2020-04,19.79
2020-05,22.61
2020-06,22.3
2020-07,22.91
2020-08,23.15
2020-09,24.83
2020-10,25.46
2020-11,26.65
2020-12,27.85
2021-01,28.4600
2021-02,29.0600
2021-03,30.4800
2021-04,30.2200
2021-05,30.9800
2021-06,31.7700
2021-07,31.5700
2021-08,30.4800
2021-09,25.6200
2021-10,22.5000
2021-11,23.5600
2021-12,23.6600
2022-01,21.6073
2022-02,23.6122
2022-03,24.1367
2022-04,23.4843
2022-05,22.7027
2022-06,21.1323
2022-07,20.9462
2022-08,19.7342
2022-09,19.0508
2022-10,17.7620
2022-11,17.9540
2022-12,20.2338
2023-01,21.8160
2023-02,22.9067
2023-03,23.2313
2023-04,25.5650
2023-05,21.5483
2023-06,23.7369
2023-07,22.1219
2023-08,24.5860
2023-09,24.5885
2023-10,25.7599
2023-11,26.3492
2023-12,29.2450
2024-01,32.0129
2024-02,33.3443
2024-03,28.7430
2024-04,32.8123
2024-05,31.4739
2024-06,33.2087
2024-07,32.5021
2024-08,33.9756
2024-09,33.8467
2024-10,34.9183
2024-11,34.3990
2024-12,34.9327
2025-01,35.1641
2025-02,34.3737
2025-03,35.4802
2025-04,37.3417
2025-05,37.7083
2025-06,36.5185
2025-07,32.3540
2025-08,31.5668
2025-09,31.4001
2025-10,32.2085
2025-11,30.0768
2025-12,29.8901
2026-01,30.6566
