month,rate
2015-02,547.754
2015-03,557.853
2015-04,533.878
2015-05,541.32
2015-06,571.5143
2015-07,563.4439
2015-08,565.81
2015-09,564.88
2015-10,564.25
2015-11,558.97
2015-12,549.78
2016-01,550.61
2016-02,517.84
2016-03,523.19
2016-04,525.17
2016-05,513.08
2016-06,529.07
2016-07,530.97
2016-08,476.91
2016-09,479.53
2016-10,469.05
2016-11,444.88
2016-12,448.71
2017-01,447.81
2017-02,446.69
2017-03,450.65
2017-04,451.47
2017-05,463.61
2017-06,468.62
2017-07,458.3275
2017-08,471.97
2017-09,463.04
2017-10,490.89
2017-11,476.62
2017-12,480.73
2018-01,485.16
2018-02,514.72
2018-03,505.88
2018-04,509.01
2018-05,515.14
2018-06,482.82
2018-07,476.83
2018-08,472.24
2018-09,467.17
2018-10,476
2018-11,467.28
2018-12,462.43
2019-01,457.55
2019-02,472.71
2019-03,472.78
2019-04,477.28
2019-05,472.24
2019-06,458.13
2019-07,457.13
2019-08,452.35
2019-09,439
2019-10,451.77
2019-11,466.19
2019-12,467.28
2020-01,473.04
2020-02,475.55
2020-03,468.71
2020-04,425.71
2020-05,446.11
2020-06,444.04
2020-07,453.82
2020-08,460.75
2020-09,477.12
2020-10,461.89
2020-11,476.35
2020-12,481.43
2021-01,488.4500
2021-02,493.3200
2021-03,508.5000
2021-04,496.5600
2021-05,504.1000
2021-06,511.9200
2021-07,505.5300
2021-08,494.8700
2021-09,497.8600
2021-10,493.8300
2021-11,499.9600
2021-12,487.2800
2022-01,478.2672
2022-02,493.2332
2022-03,491.4248
2022-04,478.1408
2022-05,472.1892
2022-06,449.2081
2022-07,445.4647
2022-08,434.1515
2022-09,427.8031
2022-10,410.0850
2022-11,407.4625
2022-12,436.6501
2023-01,448.9740
2023-02,448.4677
2023-03,434.3547
2023-04,442.6424
2023-05,450.5671
2023-06,447.5083
2023-07,460.7726
2023-08,466.3600
2023-09,457.1041
2023-10,447.5530
2023-11,6800.3078
2023-12,7392.1911
2024-01,7482.0051
2024-02,10807.1684
2024-03,16576.6675
2024-04,25699.6402
2024-05,38410.8677
